t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N,chassis,w0,w1,w2
0.0017,0.923512,-1.046046,0.968144,-0.560440,-0.164837,0.142857,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.002442,-0.002442,-0.002442,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005599,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.0117,0.923512,-1.046046,0.968526,-0.076923,-0.054947,0.318680,0.923512,-1.046046,0.968144,0.000000,0.000000,-0.007629,-0.017094,0.012210,-0.007326,-0.282146,-0.152138,0.196757,-0.282086,-0.152196,0.196774,0.320550,0.376119,3.005587,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.0230,0.923894,-1.046046,0.968144,0.252747,0.142857,0.054947,0.923512,-1.046046,0.968144,-0.007629,0.000000,0.000000,-0.007326,0.002442,0.021978,-0.282069,-0.152275,0.196760,-0.282086,-0.152196,0.196774,0.320547,0.376118,3.005568,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.0318,0.923512,-1.046046,0.968144,-0.252747,-0.054947,-0.164837,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.007326,-0.002442,-0.026862,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005548,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.0419,0.923512,-1.045665,0.968144,-0.098900,0.318680,0.164837,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.000000,-0.017094,-0.021978,-0.002442,-0.282075,-0.152188,0.196847,-0.282086,-0.152196,0.196774,0.320512,0.376133,3.005522,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.0520,0.923512,-1.046046,0.967763,0.032967,-0.186813,-0.252747,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,0.007326,-0.012210,-0.002442,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.005491,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.0629,0.923512,-1.046046,0.968144,-0.010990,-0.252747,-0.252747,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.002442,-0.031746,-0.012210,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005473,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.0725,0.923512,-1.046046,0.968144,-0.252747,-0.120880,-0.054947,0.923512,-1.046046,0.968144,0.000000,0.000000,0.000000,-0.031746,-0.017094,0.002442,-0.282086,-0.152196,0.196774,-0.282086,-0.152196,0.196774,0.320525,0.376107,3.005445,-0.000,0.000,-0.000,0.000000,0,0.000,1,0.0000,0.0000,0.0000
0.0822,0.923512,-1.046046,0.968526,0.406593,-0.098900,0.802197,0.923512,-1.046046,0.968144,0.000000,0.000000,-0.007629,-0.002442,0.007326,-0.002442,-0.282146,-0.152138,0.196757,-0.282086,-0.152196,0.196774,0.320550,0.376119,3.005435,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.0923,0.923512,-1.046046,0.968526,0.098900,-0.208790,0.780220,0.923512,-1.046046,0.968144,0.000000,0.000000,-0.007629,-0.012210,0.002442,-0.031746,-0.282146,-0.152138,0.196757,-0.282086,-0.152196,0.196774,0.320550,0.376119,3.005415,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.1024,0.923131,-1.046046,0.967763,-0.296703,0.252747,-0.384617,0.923512,-1.046046,0.968144,0.007629,0.000000,0.007629,-0.002442,0.002442,-0.031746,-0.282043,-0.152175,0.196805,-0.282086,-0.152196,0.196774,0.320477,0.376082,3.005398,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.1123,0.923512,-1.045665,0.967763,0.120880,0.340660,-0.186813,0.923512,-1.046046,0.968144,0.000000,-0.007629,0.007629,-0.002442,-0.031746,-0.017094,-0.282015,-0.152247,0.196864,-0.282086,-0.152196,0.196774,0.320486,0.376121,3.005386,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.1226,0.923894,-1.046046,0.968144,0.406593,-0.318680,0.428570,0.923512,-1.046046,0.968144,-0.007629,0.000000,0.000000,-0.031746,-0.026862,0.002442,-0.282069,-0.152275,0.196760,-0.282086,-0.152196,0.196774,0.320547,0.376118,3.005368,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
0.1324,0.923512,-1.046046,0.967763,0.120880,-0.142857,-0.076923,0.923512,-1.046046,0.968144,0.000000,0.000000,0.007629,-0.031746,-0.031746,0.012210,-0.282026,-0.152254,0.196791,-0.282086,-0.152196,0.196774,0.320499,0.376094,3.005347,-0.000,0.000,-0.000,0.000381,0,0.000,1,0.0000,0.0000,0.0000
