t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N
0.0044,0.429883,0.461926,0.495497,-0.186813,-0.692307,-0.956043,0.429883,0.461926,0.495497,0.000000,0.000000,0.000000,0.026862,-0.241758,-1.433455,-0.007402,0.012320,0.432121,-0.007402,0.012320,0.432121,0.014373,0.432360,-2.912067,-0.000,0.000,-0.000,0.000000,0,0.000
0.0141,0.424924,0.451245,0.478330,-0.164837,-0.736263,-0.802197,0.426554,0.458293,0.491552,0.032601,0.140956,0.200000,0.061050,0.324786,1.076923,-0.005939,0.010021,0.430309,-0.007404,0.012320,0.432121,0.011649,0.430467,-2.912172,-0.000,0.000,-0.000,0.017167,0,0.000
0.0244,0.425687,0.452008,0.479474,0.274727,0.142857,-0.450550,0.426846,0.458581,0.491863,0.023181,0.131464,0.247776,0.144078,-0.021978,-0.012210,-0.006025,0.010072,0.430461,-0.007404,0.012319,0.432121,0.011737,0.430621,-2.912248,-0.000,0.000,-0.000,0.012078,0,0.000
0.0352,0.426068,0.452390,0.479855,-0.230770,0.054947,0.098900,0.426974,0.458704,0.491991,0.018120,0.126289,0.242720,-0.007326,-0.002442,0.612943,-0.006026,0.010074,0.430528,-0.007406,0.012318,0.432121,0.011739,0.430688,-2.912357,-0.000,0.000,-0.000,0.012007,0,0.000
0.0444,0.426831,0.454297,0.482526,-0.142857,0.076923,0.120880,0.427514,0.459303,0.492627,0.013649,0.100123,0.202035,-0.061050,-0.271062,-0.407814,-0.006199,0.010464,0.430824,-0.007406,0.012318,0.432121,0.012162,0.430996,-2.912350,-0.000,0.000,-0.000,0.009466,0,0.000
0.0545,0.428357,0.456967,0.483670,0.186813,0.274727,-0.098900,0.428091,0.459939,0.493188,-0.005328,0.059427,0.190367,-0.114774,-0.236875,0.056166,-0.005868,0.010566,0.431136,-0.007406,0.012318,0.432121,0.012086,0.431306,-2.912348,-0.000,0.000,-0.000,0.008957,0,0.000
0.0653,0.428738,0.456204,0.485197,-0.186813,-0.340660,0.054947,0.428218,0.460008,0.493372,-0.010405,0.076076,0.163500,-0.061050,0.163614,-0.085470,-0.006373,0.010569,0.431195,-0.007406,0.012318,0.432121,0.012341,0.431371,-2.912376,-0.000,0.000,-0.000,0.007992,0,0.000
0.0748,0.429883,0.456586,0.485960,0.340660,-0.098900,-0.384617,0.428489,0.460245,0.493624,-0.027874,0.073180,0.153289,-0.144078,0.070818,-0.036630,-0.006458,0.010429,0.431330,-0.007405,0.012319,0.432121,0.012266,0.431504,-2.912312,-0.000,0.000,-0.000,0.007412,0,0.000
0.0852,0.430264,0.456967,0.487104,0.054947,0.318680,-0.032967,0.428686,0.460446,0.493860,-0.031562,0.069579,0.135108,-0.075702,0.046398,-0.007326,-0.006628,0.010528,0.431435,-0.007404,0.012319,0.432121,0.012440,0.431614,-2.912247,-0.000,0.000,-0.000,0.006520,0,0.000
0.0957,0.430646,0.456967,0.488249,0.098900,0.076923,0.142857,0.428851,0.460587,0.494062,-0.035904,0.072397,0.116258,-0.075702,0.031746,0.007326,-0.006881,0.010578,0.431518,-0.007406,0.012318,0.432121,0.012619,0.431702,-2.912339,-0.000,0.000,-0.000,0.005611,0,0.000
0.1048,0.431027,0.456967,0.488630,0.098900,0.142857,0.252747,0.428942,0.460659,0.494153,-0.041714,0.073828,0.110447,-0.100122,0.056166,0.051282,-0.006965,0.010532,0.431562,-0.007406,0.012318,0.432121,0.012627,0.431746,-2.912348,-0.000,0.000,-0.000,0.005431,0,0.000
0.1150,0.431027,0.456967,0.489012,0.032967,0.076923,-0.230770,0.428980,0.460689,0.494210,-0.040937,0.074439,0.103967,-0.090354,0.061050,0.070818,-0.007050,0.010580,0.431581,-0.007408,0.012317,0.432121,0.012714,0.431768,-2.912505,-0.000,0.000,-0.000,0.005141,0,0.000
0.1249,0.431027,0.456967,0.489393,0.076923,0.076923,0.098900,0.429021,0.460717,0.494269,-0.040135,0.075002,0.097511,-0.065934,0.075702,0.031746,-0.007134,0.010629,0.431600,-0.007410,0.012316,0.432121,0.012801,0.431790,-2.912728,-0.000,0.000,-0.000,0.004817,0,0.000
0.1357,0.431409,0.456586,0.489775,0.340660,-0.120880,0.208790,0.429078,0.460730,0.494325,-0.046622,0.082893,0.091010,-0.061050,0.061050,0.031746,-0.007302,0.010535,0.431622,-0.007412,0.012315,0.432121,0.012818,0.431812,-2.912836,-0.000,0.000,-0.000,0.004494,0,0.000
0.1459,0.431409,0.456967,0.489775,0.032967,0.142857,-0.340660,0.429117,0.460778,0.494365,-0.045831,0.076215,0.091803,-0.051282,0.056166,0.036630,-0.007219,0.010583,0.431644,-0.007414,0.012313,0.432121,0.012810,0.431834,-2.913040,-0.000,0.000,-0.000,0.004550,0,0.000
