t,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,yaw,ls_y,rs_x,rs_y,lag_rad,frozen,f_press_N
0.0050,0.468030,0.434461,0.486341,-1.483517,-0.494507,-1.351650,0.469954,0.434939,0.488267,0.038492,0.009560,0.038521,-0.065934,0.026862,-0.539682,-0.011353,-0.001895,0.432302,-0.011695,-0.002087,0.432667,0.011510,0.432455,-3.063035,-0.000,0.000,-0.000,0.002670,0,0.000
0.0139,0.458112,0.429883,0.474133,-1.175823,-0.384617,-2.054947,0.466945,0.432199,0.485139,0.176662,0.046313,0.220110,-0.085470,-0.041514,-0.139194,-0.009653,-0.001514,0.430802,-0.011695,-0.002089,0.432667,0.009771,0.430913,-3.063174,-0.000,0.000,-0.000,0.014134,0,0.000
0.0241,0.458112,0.429120,0.473752,0.450550,0.032967,-0.824177,0.466840,0.432054,0.485012,0.174559,0.058674,0.225210,-0.593407,-0.085470,-0.837606,-0.009734,-0.001657,0.430733,-0.011695,-0.002089,0.432667,0.009874,0.430846,-3.063222,-0.000,0.000,-0.000,0.011387,0,0.000
0.0342,0.458112,0.429883,0.475278,0.010990,0.010990,-0.450550,0.467056,0.432307,0.485303,0.178892,0.048479,0.200507,0.354091,-0.080586,-0.803419,-0.009904,-0.001368,0.430862,-0.011695,-0.002090,0.432667,0.009999,0.430978,-3.063240,-0.000,0.000,-0.000,0.009735,0,0.000
0.0443,0.460019,0.430264,0.476422,0.538460,0.098900,0.494507,0.467473,0.432649,0.485685,0.149081,0.047687,0.185260,-0.031746,-0.002442,-0.505494,-0.010074,-0.001657,0.431056,-0.011695,-0.002089,0.432667,0.010209,0.431177,-3.063182,-0.000,0.000,-0.000,0.008881,0,0.000
0.0545,0.460782,0.431027,0.477185,0.098900,0.362637,-0.450550,0.467725,0.432902,0.485940,0.138858,0.037500,0.175096,-0.017094,-0.065934,-0.378510,-0.010077,-0.001657,0.431189,-0.011695,-0.002088,0.432667,0.010212,0.431310,-3.063125,-0.000,0.000,-0.000,0.008500,0,0.000
0.0648,0.462308,0.430264,0.477948,0.362637,-0.384617,0.164837,0.467944,0.433008,0.486123,0.112720,0.054869,0.163501,-0.026862,0.251526,0.168498,-0.010410,-0.002041,0.431267,-0.011695,-0.002088,0.432667,0.010608,0.431397,-3.063085,-0.000,0.000,-0.000,0.007992,0,0.000
0.0752,0.463834,0.429883,0.479092,0.186813,0.274727,-0.054947,0.468234,0.433204,0.486397,0.088014,0.066429,0.146095,-0.129426,0.080586,0.090354,-0.010744,-0.002329,0.431389,-0.011695,-0.002087,0.432667,0.010994,0.431529,-3.063035,-0.000,0.000,-0.000,0.007031,0,0.000
0.0850,0.465360,0.429120,0.480237,0.538460,-0.054947,0.164837,0.468491,0.433345,0.486634,0.062630,0.084508,0.127946,-0.026862,0.139194,0.056166,-0.011161,-0.002665,0.431486,-0.011695,-0.002087,0.432667,0.011475,0.431638,-3.063049,-0.000,0.000,-0.000,0.006160,0,0.000
0.0952,0.465741,0.428738,0.481381,-0.010990,0.120880,0.164837,0.468619,0.433434,0.486799,0.057559,0.093908,0.108346,-0.026862,0.114774,-0.031746,-0.011496,-0.002663,0.431542,-0.011695,-0.002088,0.432667,0.011800,0.431704,-3.063064,-0.000,0.000,-0.000,0.005253,0,0.000
