t,s_m,pct,plane,q0,q1,q2,qd0,qd1,qd2,q_cmd0,q_cmd1,q_cmd2,tau0,tau1,tau2,tauIq0,tauIq1,tauIq2,foot_x,foot_y,foot_z,tgt_x,tgt_y,tgt_z,r_xy,L_m,lag_rad
0.0067,0.00080,0.01,START,0.401653,0.274622,0.403942,-0.494507,-1.923077,0.186813,0.405086,0.492063,0.408520,0.068665,4.348831,0.091553,-0.114774,-0.202686,-0.105006,-0.026950,-0.014997,0.413304,0.018204,0.011359,0.427068,0.030841,0.414454,0.217442
0.0155,0.00160,0.01,START,0.401653,0.262796,0.403561,-0.274727,-1.615383,0.010990,0.403061,0.493081,0.409869,0.028155,4.605694,0.126175,-0.109890,-0.349206,-0.144078,-0.029258,-0.016424,0.412366,0.018140,0.012157,0.427068,0.033553,0.413729,0.230285
0.0255,0.00240,0.02,START,0.401653,0.272333,0.404323,-0.406593,1.945053,0.230770,0.401048,0.494113,0.411233,-0.012096,4.435603,0.138200,-0.085470,-0.085470,-0.109890,-0.027495,-0.015218,0.413146,0.018076,0.012954,0.427068,0.031425,0.414340,0.221780
0.0353,0.00320,0.03,START,0.402416,0.288736,0.405468,-0.318680,1.527473,-0.296703,0.399044,0.495155,0.412607,-0.067434,4.128379,0.142789,-0.124542,0.700854,-0.139194,-0.024407,-0.013340,0.414490,0.018012,0.013752,0.427068,0.027814,0.415423,0.206419
0.0456,0.00400,0.03,START,0.403561,0.305522,0.407757,0.142857,1.857143,0.340660,0.397049,0.496207,0.413991,-0.130228,3.813702,0.124683,-0.212454,0.583638,-0.207570,-0.021461,-0.011356,0.415906,0.017948,0.014549,0.427068,0.024280,0.416615,0.190685
0.0557,0.00480,0.04,START,0.403942,0.324595,0.410427,0.032967,2.098900,-0.010990,0.395063,0.497268,0.415384,-0.177590,3.453463,0.099142,-0.124542,0.398046,-0.100122,-0.018099,-0.008848,0.417432,0.017883,0.015346,0.427068,0.020146,0.417918,0.172673
0.0656,0.00560,0.05,APPROACH,0.403942,0.339854,0.411953,-0.010990,1.835163,-0.010990,0.393085,0.498340,0.416787,-0.217149,3.169713,0.096682,-0.139194,0.442002,-0.036630,-0.015256,-0.006828,0.418572,0.017819,0.016144,0.427068,0.016714,0.418905,0.158486
0.0760,0.00640,0.05,APPROACH,0.403179,0.360454,0.412716,-0.230770,2.252747,-0.010990,0.391115,0.499421,0.418200,-0.241276,2.779328,0.109674,-0.105006,0.178267,0.017094,-0.011107,-0.004054,0.419950,0.017755,0.016941,0.427068,0.011823,0.420116,0.138966
0.0865,0.00720,0.06,APPROACH,0.402416,0.381054,0.413097,-0.098900,1.989010,-0.186813,0.389155,0.500512,0.419622,-0.265228,2.389157,0.130490,-0.051282,0.109890,0.021978,-0.006839,-0.001306,0.421243,0.017691,0.017739,0.427068,0.006962,0.421301,0.119458
0.0966,0.00800,0.07,APPROACH,0.400890,0.404323,0.414242,-0.318680,2.120880,0.252747,0.387203,0.501612,0.421054,-0.273748,1.945776,0.136240,-0.075702,-0.251526,0.017094,-0.002127,0.002076,0.422625,0.017627,0.018536,0.427068,0.002972,0.422635,0.097289
